%año         Mes      Dia      Hora     Cont    T1mx     T1mn  
 2012.00     6.00     2.00     7.00   441.00    30.35    24.54
 2012.00     6.00     3.00     7.00   442.00    30.28    23.37
 2012.00     6.00     4.00     7.00   443.00    31.24    23.65
 2012.00     6.00     5.00     7.00   444.00    30.89    24.03
 2012.00     6.00     6.00     7.00   445.00    31.43    23.31
 2012.00     6.00     7.00     7.00   446.00    30.55    23.38
 2012.00     6.00     8.00     7.00   447.00    31.44    23.93
 2012.00     6.00     9.00     7.00   448.00    31.85    24.06
 2012.00     6.00    10.00     7.00   449.00    29.79    22.01
 2012.00     6.00    11.00     7.00   450.00    31.50    23.17
 2012.00     6.00    12.00     7.00   451.00    26.72    23.03
 2012.00     6.00    13.00     7.00   452.00    26.25    21.63
 2012.00     6.00    14.00     7.00   453.00    30.54    21.60
 2012.00     6.00    15.00     7.00   454.00    29.79    23.31
 2012.00     6.00    16.00     7.00   455.00    31.40    22.90
 2012.00     6.00    17.00     7.00   456.00    26.72    22.42
 2012.00     6.00    18.00     7.00   457.00    31.02    22.76
 2012.00     6.00    19.00     7.00   458.00    29.69    23.17
